season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,pass_stats,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,rush_stats,receiving_stats,scoring_stats,defense_stats,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,fumble_stats_number,fumble_stats_number_lost,fumblereturn_stats_number,fumblereturn_stats_yards,fumblereturn_stats_touchdowns,fumblereturn_stats_longest_interception_return,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt
2026-27,football,Liberty League (LL),ll,RPI,"Ahle,Chris",Chris,Ahle,,570,"Ahle,Chris","AHLE,CHRIS",RPI,RPI,1060-6762,1,0,8,8,0,WR,0,0,,,,,,,,,,0,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Williams,Julian",Julian,Williams,,570,"Williams,Julian","WILLIAMS,JULIAN",RPI,RPI,1060-7253,1,0,8,8X,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Young,Josh",Josh,Young,,570,"Young,Josh","YOUNG,JOSH",RPI,RPI,1060-6770,1,1,9,9,0,TE,0,0,,,,,,,,,,2,48,1,30,24.0,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Hernandez,Sergio",Sergio,Hernandez,,570,"Hernandez,Sergio","HERNANDEZ,SERGIO",RPI,RPI,1060-7225,1,0,10,10,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Simmons,Cooper",Cooper,Simmons,,570,"Simmons,Cooper","SIMMONS,COOPER",RPI,RPI,1060-6996,1,0,11,11,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"McCormack,Justin",Justin,McCormack,,570,"McCormack,Justin","MCCORMACK,JUSTIN",RPI,RPI,1060-6756,1,0,12,12,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Balzarini,Micah",Micah,Balzarini,,570,"Balzarini,Micah","BALZARINI,MICAH",RPI,RPI,1060-6968,1,1,13,13,0,QB,0,0,1,-1,0,1,0,0,-1.0,-1.0,,,,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,52,2,221,0,17,8,195.1,13.00,27.63,221.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Krauza,Matt",Matt,Krauza,,570,"Krauza,Matt","KRAUZA,MATT",RPI,RPI,1060-6765,1,1,14,14,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,3,2,5,5,1.0,.0,.0,1,0,6,1,1,0,6,1,1,1,0,0,1,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Ierardi,Jared",Jared,Ierardi,,570,"Ierardi,Jared","IERARDI,JARED",RPI,RPI,1060-6983,1,0,15,15,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Clark,Alex",Alex,Clark,,570,"Clark,Alex","CLARK,ALEX",RPI,RPI,1060-6771,1,1,16,16,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,4,0,4,4,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Reider,Eli",Eli,Reider,,570,"Reider,Eli","REIDER,ELI",RPI,RPI,1060-7244,1,0,16,1G,0,WR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Hersh,Lance",Lance,Hersh,,570,"Hersh,Lance","HERSH,LANCE",RPI,RPI,1060-6982,1,0,17,17,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Jackson,Jacob",Jacob,Jackson,,570,"Jackson,Jacob","JACKSON,JACOB",RPI,RPI,1060-7228,1,0,18,18,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Grant,Dalton",Dalton,Grant,,570,"Grant,Dalton","GRANT,DALTON",RPI,RPI,1060-6760,1,0,20,20,0,WR,0,0,,,,,,,,,,0,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Connolly,Luke",Luke,Connolly,,570,"Connolly,Luke","CONNOLLY,LUKE",RPI,RPI,1060-6972,1,0,20,2A,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,3,0,3,3,1.0,.0,.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Gurung,Adrien",Adrien,Gurung,,570,"Gurung,Adrien","GURUNG,ADRIEN",RPI,RPI,1060-6981,1,0,21,21,0,RB,0,0,4,17,17,0,0,8,4.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Rivera,Joseph",Joseph,Rivera,,570,"Rivera,Joseph","RIVERA,JOSEPH",RPI,RPI,1060-7246,1,0,21,2B,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Rossi,Nicholas",Nicholas,Rossi,,570,"Rossi,Nicholas","ROSSI,NICHOLAS",RPI,RPI,1060-7247,1,0,22,22,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,2,0,2,2,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Kurz,Cash",Cash,Kurz,,570,"Kurz,Cash","KURZ,CASH",RPI,RPI,1060-7417,0,0,25,2F,0,0,DB,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Henehan,Jake",Jake,Henehan,,570,"Henehan,Jake","HENEHAN,JAKE",RPI,RPI,1060-7224,1,0,26,26,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Kramer,Griffin",Griffin,Kramer,,570,"Kramer,Griffin","KRAMER,GRIFFIN",RPI,RPI,1060-6984,1,0,33,33,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,0,2,2,2,.5,.0,.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Lukash,Kevin",Kevin,Lukash,,570,"Lukash,Kevin","LUKASH,KEVIN",RPI,RPI,1060-6803,1,0,39,39,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,269,1,0,44.8,0,0,0,0,.0,5,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Learned,Reily",Reily,Learned,,570,"Learned,Reily","LEARNED,REILY",RPI,RPI,1060-7234,1,0,40,40,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,5,1,6,6,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Dechiaro,Joe",Joe,Dechiaro,,570,"Dechiaro,Joe","DECHIARO,JOE",RPI,RPI,1060-6769,1,1,41,41,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,4,10,14,14,.5,.0,.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Poknis,P.J.",P.J.,Poknis,,570,"Poknis,P.J.","POKNIS,P.J.",RPI,RPI,1060-6772,1,1,43,43,0,0,LB,0,,,,,,,,,,,,,,,,,,,0,4,7,11,11,3.0,.0,.0,2,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Fondelius,Lex",Lex,Fondelius,,570,"Fondelius,Lex","FONDELIUS,LEX",RPI,RPI,1060-6979,1,0,44,44,0,TE,0,0,,,,,,,,,,0,0,0,0,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"O'Leary,Ryan",Ryan,O'Leary,,570,"O'Leary,Ryan","O'LEARY,RYAN",RPI,RPI,1060-6776,1,0,48,48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Shaner,Ryan",Ryan,Shaner,,570,"Shaner,Ryan","SHANER,RYAN",RPI,RPI,1060-6780,1,1,50,50,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Burke,Nathan",Nathan,Burke,,570,"Burke,Nathan","BURKE,NATHAN",RPI,RPI,1060-6778,1,0,51,51,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Conover,Willem",Willem,Conover,,570,"Conover,Willem","CONOVER,WILLEM",RPI,RPI,1060-7213,0,0,55,5F,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Fisher,Aaron",Aaron,Fisher,,570,"Fisher,Aaron","FISHER,AARON",RPI,RPI,1060-7218,1,0,55,55,0,0,DL,0,,,,,,,,,,,,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Chappa,Jack",Jack,Chappa,,570,"Chappa,Jack","CHAPPA,JACK",RPI,RPI,1060-6971,1,0,56,56,0,0,DL,0,,,,,,,,,,,,,,,,,,,0,4,0,4,4,2.0,.0,.0,2,0,13,2,2,0,13,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Liberty League (LL),ll,RPI,"Speece,Ethan",Ethan,Speece,,570,"Speece,Ethan","SPEECE,ETHAN",RPI,RPI,1060-6784,1,0,58,5I,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
