rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
33,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,L Golle,26,31.7,12.0,2.8,2.4,0.5,0.0,1.4,0.6830982957440217,0.6031634377586951,-0.46119685519099257,0.6659082696250153,-0.7719022978513055,-0.7926029314436307,-0.14465755596285468
34,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,B Cage,26,24.1,12.0,1.5,1.4,1.0,0.2,1.6,0.08105325381499934,0.6031634377586951,-1.1306039411235498,-0.2439465938230255,0.1432396016631286,-0.21692290755299387,0.15780824286856937
35,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,B Bell,25,22.8,9.7,4.2,0.6,0.3,0.5,1.1,-0.008310845357994201,0.12858714835708393,0.2597030835056079,-0.9718304845814582,-1.1379590576570793,0.6465971282829613,-0.5983562542099901
36,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,C Farley,24,19.8,10.7,2.0,1.5,1.2,0.0,1.4,-0.07434845858773198,0.33492466548821914,-0.8731396773033355,-0.15296110747822134,0.5092963614689021,-0.7926029314436307,-0.14465755596285468
37,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,B Sneddon,25,18.1,6.2,4.5,0.8,0.6,0.2,0.6,-0.7694446439895242,-0.5935941616018892,0.4141816417977364,-0.7898595118918499,-0.5888739179484187,-0.21692290755299387,-1.3545207512885498
38,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,T Edwards,25,18.2,8.4,2.5,1.1,0.8,0.3,1.2,-0.7903595173049116,-0.13965162391339164,-0.615675413483121,-0.5169030528574375,-0.22281715814264497,0.07091710439232447,-0.4471233547942784
39,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,M Kargo,25,25.9,4.0,2.6,4.5,1.7,0.1,2.0,-0.8367329547606188,-1.0475366992903867,-0.5641825607190781,2.576603482865901,1.4244382609833364,-0.5047629194983123,0.7627398405314167
40,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,J Tavarez,23,21.8,9.2,3.4,1.6,0.7,0.1,2.0,-1.1646100734321296,0.025418389791516314,-0.15223973860673526,-0.06197562113341718,-0.405845538045532,-0.5047629194983123,0.7627398405314167
41,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,X Boone,17,18.1,5.7,2.7,2.3,1.0,0.2,1.8,-1.7550235739122177,-0.6967629201674568,-0.5126897079550352,0.5749227832802112,0.1432396016631286,-0.21692290755299387,0.4602740416999931
42,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,A Batts,24,21.3,7.7,2.0,1.5,0.8,0.0,1.5,-1.799416640712886,-0.28408788590518635,-0.8731396773033355,-0.15296110747822134,-0.22281715814264497,-0.7926029314436307,0.006575343452857337
43,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,D Robinson,21,14.1,3.8,3.8,1.1,0.7,0.2,0.7,-1.8505823130198213,-1.0888042027166138,0.05373167244943619,-0.5169030528574375,-0.405845538045532,-0.21692290755299387,-1.2032878518728378
44,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,R Lewis,27,21.1,4.7,4.2,1.7,0.6,0.1,1.3,-1.9142078649158,-0.903100437298592,0.2597030835056079,0.029009865211386775,-0.5888739179484187,-0.5047629194983123,-0.2958904553785664
45,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,J Howard,26,17.7,4.1,2.9,0.7,0.3,0.7,0.7,-1.9524008668625394,-1.0269029475772733,-0.40970400242694965,-0.8808449982366541,-1.1379590576570793,1.222277152173598,-1.2032878518728378
46,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,K Pryor,25,17.6,5.3,1.7,1.8,0.8,0.1,1.0,-1.9580505887872302,-0.779297927019911,-1.0276182355954642,0.11999535155619094,-0.22281715814264497,-0.5047629194983123,-0.7495891536257021
47,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,E Kioko,25,15.7,6.4,4.3,0.2,0.2,0.3,1.1,-1.968207025150869,-0.5523266581756621,0.3111959362696506,-1.3357724299606744,-1.320987437559966,0.07091710439232447,-0.5983562542099901
48,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,M Hill,21,11.3,6.5,1.5,0.6,1.3,0.0,1.0,-1.9855576830539623,-0.5316929064625486,-1.1306039411235498,-0.9718304845814582,0.6923247413717891,-0.7926029314436307,-0.7495891536257021
49,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,S Mason,26,24.4,4.8,2.0,1.5,0.6,0.0,0.6,-2.090325744183232,-0.8824666855854786,-0.8731396773033355,-0.15296110747822134,-0.5888739179484187,-0.7926029314436307,-1.3545207512885498
50,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,T Adamson,20,22.6,5.2,2.5,1.3,0.5,0.2,1.0,-2.160029882823302,-0.7999316787330244,-0.615675413483121,-0.3349320801678295,-0.7719022978513055,-0.21692290755299387,-0.7495891536257021
51,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,E Taft,26,21.5,5.5,1.7,1.9,0.3,0.0,0.8,-2.1713440581581502,-0.7380304235936839,-1.0276182355954642,0.2109808379009949,-1.1379590576570793,-0.7926029314436307,-1.0520549524571259
52,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,I Nascimento-Zschaeck,25,22.5,7.5,2.0,1.7,0.9,0.0,2.1,-2.3889756939265885,-0.32535538933141345,-0.8731396773033355,0.029009865211386775,-0.03978877823975818,-0.7926029314436307,0.9139727399471288
53,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,J Nelson,25,24.1,4.2,1.9,1.9,0.6,0.1,1.0,-2.4592416720675923,-1.0062691958641596,-0.9246325300673784,0.2109808379009949,-0.5888739179484187,-0.5047629194983123,-0.7495891536257021
54,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,I Bremer,25,16.3,5.8,1.5,0.7,0.2,0.2,0.7,-2.566597485519039,-0.6761291684543433,-1.1306039411235498,-0.8808449982366541,-1.320987437559966,-0.21692290755299387,-1.2032878518728378
55,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,J Beatty,26,20.0,4.9,2.0,1.9,0.9,0.0,1.5,-2.608633184930349,-0.8618329338723649,-0.8731396773033355,0.2109808379009949,-0.03978877823975818,-0.7926029314436307,0.006575343452857337
56,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Collins,27,10.6,3.6,2.1,0.8,0.6,0.1,0.5,-2.7304133459474382,-1.130071706142841,-0.8216468245392925,-0.7898595118918499,-0.5888739179484187,-0.5047629194983123,-1.5057536507042615
57,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Martin,27,14.7,4.9,1.3,0.7,0.5,0.0,0.5,-2.781419813250592,-0.8618329338723649,-1.2335896466516356,-0.8808449982366541,-0.7719022978513055,-0.7926029314436307,-1.5057536507042615
58,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,S Williams,26,15.8,5.1,1.5,1.8,0.7,0.1,1.5,-2.8091213771236356,-0.820565430446138,-1.1306039411235498,0.11999535155619094,-0.405845538045532,-0.5047629194983123,0.006575343452857337
59,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,A Cunningham,26,23.5,2.0,3.6,2.1,0.6,0.1,1.3,-2.9899410772674595,-1.4602117335526572,-0.04925403307864942,0.39295181059060325,-0.5888739179484187,-0.5047629194983123,-0.2958904553785664
60,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,S Brown,20,10.3,1.2,2.2,1.1,0.7,0.6,0.8,-3.0455636487009374,-1.6252817472575654,-0.7701539717752496,-0.5169030528574375,-0.405845538045532,0.9344371402282797,-1.0520549524571259
61,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Jenisch,27,14.0,4.1,2.1,0.3,0.4,0.1,0.6,-3.146539730458573,-1.0269029475772733,-0.8216468245392925,-1.2447869436158703,-0.9549306777541923,-0.5047629194983123,-1.3545207512885498
62,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,F Hutchison,23,17.9,5.7,1.0,0.7,0.2,0.0,1.0,-3.4388889441624424,-0.6967629201674568,-1.3880682049437643,-0.8808449982366541,-1.320987437559966,-0.7926029314436307,-0.7495891536257021
63,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,S Byrd,17,13.7,3.1,2.8,0.9,0.4,0.1,1.2,-3.650678660724274,-1.2332404647084085,-0.46119685519099257,-0.6988740255470458,-0.9549306777541923,-0.5047629194983123,-0.4471233547942784
64,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,D Hind,26,11.0,3.4,1.2,1.0,0.3,0.0,0.7,-3.6704088592227637,-1.1713392095690678,-1.2850824994156784,-0.6078885392022417,-1.1379590576570793,-0.7926029314436307,-1.2032878518728378
65,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,B Beard,24,14.1,3.9,1.9,0.5,0.5,0.2,1.4,-3.906241410634414,-1.0681704510035002,-0.9246325300673784,-1.0628159709262621,-0.7719022978513055,-0.21692290755299387,-0.14465755596285468
66,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,D Carr,19,11.3,4.0,1.6,0.9,0.4,0.0,1.3,-3.9767174186114187,-1.0475366992903867,-1.079111088359507,-0.6988740255470458,-0.9549306777541923,-0.7926029314436307,-0.2958904553785664
67,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,Z Bruce,26,12.5,3.1,1.8,0.4,0.2,0.2,1.0,-4.126713567144476,-1.2332404647084085,-0.9761253828314213,-1.1538014572710662,-1.320987437559966,-0.21692290755299387,-0.7495891536257021
68,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,E Johansson,24,11.7,2.3,1.6,1.3,0.3,0.0,1.1,-4.273047165978132,-1.3983104784133167,-1.079111088359507,-0.3349320801678295,-1.1379590576570793,-0.7926029314436307,-0.5983562542099901
69,amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,D Allen,18,12.7,1.1,1.7,0.6,0.6,0.1,0.9,-4.517605878355438,-1.645915498970679,-1.0276182355954642,-0.9718304845814582,-0.5888739179484187,-0.5047629194983123,-0.9008220530414139
